event_id,event_type,src,relation,dst
E1,Planned_process,T43,Instrument,T1
E1,Planned_process,T43,Instrument2,T2
E1,Planned_process,T43,Theme,T3
E2,Gene_expression,T44,Theme,T4
E3,Positive_regulation,T45,Theme,E2
E4,Planned_process,T46,Theme,T5
E4,Planned_process,T46,Instrument,T6
E5,Planned_process,T46,Theme,T5
E5,Planned_process,T46,Instrument,T8
E6,Planned_process,T47,Instrument,T10
E6,Planned_process,T47,Instrument2,T12
E6,Planned_process,T47,Theme,T13
E7,Cell_transformation,T48,Theme,T13
E8,Planned_process,T49,Theme,T13
E8,Planned_process,T49,Instrument,T14
E8,Planned_process,T49,Instrument2,T15
E9,Gene_expression,T50,Theme,T16
E10,Positive_regulation,T51,Theme,E9
E11,DNA_methylation,T52,Theme,T23
E12,Positive_regulation,T53,Cause,T22
E12,Positive_regulation,T53,Theme,E14
E13,Positive_regulation,T53,Cause,T22
E13,Positive_regulation,T53,Theme,E15
E14,Cell_proliferation,T54,Theme,T24
E15,Cell_proliferation,T54,Theme,T25
E16,Positive_regulation,T55,Cause,T27
E16,Positive_regulation,T55,Theme,E17
E17,Cell_transformation,T56
E18,Planned_process,T57,Instrument,T32
E18,Planned_process,T57,Theme,T31
E19,Positive_regulation,T58,Cause,T33
E19,Positive_regulation,T58,Theme,E20
E20,Death,T59,Theme,T34
E21,Planned_process,T60,Theme,T36
E21,Planned_process,T60,Instrument,T35
E22,Cell_death,T61,Theme,T36
E23,Cell_death,T61,Theme,T37
E24,Regulation,T62,Cause,E25
E24,Regulation,T62,Theme,E27
E25,Gene_expression,T63,Theme,T40
E26,Positive_regulation,T64,Theme,E25
E27,Positive_regulation,T65,Theme,E28
E28,Planned_process,T66,Instrument,T39
E29,Planned_process,T67,Instrument,T41
E30,Regulation,T68,Cause,E31
E30,Regulation,T68,Theme,E29
E31,Gene_expression,T69,Theme,T42
E32,Positive_regulation,T70,Theme,E31
E33,Regulation,T71,Theme,E34
E33,Regulation,T71,Cause,T41
E34,Regulation,T72,Theme,E35
E35,Cell_death,T73
