position,word,word_lem,entity_index,entity_notation,event_index,event_notation,is_end
0,Modulation,modulation,,,T47,Regulation-Unit,False
11,of,of,,,,,False
14,apoptosis,apoptosis,,,T48,Cell_death-Unit,False
24,in,in,,,,,False
27,human,human,T1,Organism-Unit,,,False
33,myeloid,myeloid,T2,Cell-Begin,,,False
41,leukemic,leukemic,T2,Cell-Inside,,,False
50,cells,cell,T2,Cell-Last,,,False
56,by,by,,,,,False
59,GM,gm,T3,Gene_or_gene_product-Begin,,,False
61,-,-,T3,Gene_or_gene_product-Inside,,,False
62,CSF,csf,T3,Gene_or_gene_product-Last,,,False
65,.,.,,,,,True
68,Apoptosis,apoptosis,,,T49,Cell_death-Unit,False
78,(,(,,,,,False
79,programmed,program,,,,,False
90,cell,cell,T4,Cell-Unit,,,False
95,death,death,,,T50,Death-Unit,False
100,),),,,,,False
102,regulates,regulate,,,T51,Regulation-Unit,False
112,cell,cell,T5,Cell-Unit,,,False
117,population,population,,,,,False
128,size,size,,,,,False
132,.,.,,,,,True
134,To,to,,,,,False
137,determine,determine,,,,,False
147,the,the,,,,,False
151,mechanisms,mechanism,,,,,False
162,whereby,whereby,,,,,False
170,hematopoietic,hematopoietic,T6,Gene_or_gene_product-Begin,,,False
184,growth,growth,T6,Gene_or_gene_product-Inside,,,False
191,factors,factor,T6,Gene_or_gene_product-Last,,,False
199,(,(,,,,,False
200,HGFs,hgfs,T7,Gene_or_gene_product-Unit,,,False
204,),),,,,,False
206,modulate,modulate,,,T52,Regulation-Unit,False
215,apoptosis,apoptosis,,,T53,Cell_death-Unit,False
225,in,in,,,,,False
228,human,human,T8,Organism-Unit,,,False
234,myeloid,myeloid,T9,Cell-Begin,,,False
242,leukemic,leukemic,T9,Cell-Inside,,,False
251,cells,cell,T9,Cell-Last,,,False
256,",",",",,,,,False
258,we,we,,,,,False
261,evaluated,evaluate,,,,,False
271,the,the,,,,,False
275,roles,role,,,,,False
281,of,of,,,,,False
284,protein,protein,,,,,False
292,and,and,,,,,False
296,mRNA,mrna,,,,,False
301,synthesis,synthesis,,,,,False
311,for,for,,,,,False
315,altering,alter,,,T54,Regulation-Unit,False
324,apoptosis,apoptosis,,,T55,Cell_death-Unit,False
334,in,in,,,,,False
337,growth,growth,,,,,False
344,factor,factor,,,,,False
350,-,-,,,,,False
351,stimulated,stimulate,,,T56,Positive_regulation-Unit,False
362,vs,v,,,,,False
364,.,.,,,,,False
366,quiescent,quiescent,,,,,False
376,leukemic,leukemic,T10,Cell-Begin,,,False
385,TF1,tf1,T10,Cell-Inside,,,False
389,cells,cell,T10,Cell-Last,,,False
394,.,.,,,,,True
396,Lysates,lysates,T11,Organism_substance-Unit,,,False
404,of,of,,,,,False
407,cells,cell,T12,Cell-Unit,,,False
413,from,from,,,,,False
418,the,the,,,,,False
422,granulocyte,granulocyte,T13,Gene_or_gene_product-Begin,,,False
433,-,-,T13,Gene_or_gene_product-Inside,,,False
434,macrophage,macrophage,T13,Gene_or_gene_product-Inside,,,False
445,colony,colony,T13,Gene_or_gene_product-Inside,,,False
451,-,-,T13,Gene_or_gene_product-Inside,,,False
452,stimulating,stimulating,T13,Gene_or_gene_product-Inside,,,False
464,factor,factor,T13,Gene_or_gene_product-Last,,,False
471,(,(,,,,,False
472,GM,gm,T14,Gene_or_gene_product-Begin,,,False
474,-,-,T14,Gene_or_gene_product-Inside,,,False
475,CSF,csf,T14,Gene_or_gene_product-Last,,,False
478,),),,,,,False
479,-,-,,,,,False
480,dependent,dependent,,,T57,Positive_regulation-Unit,False
490,myeloid,myeloid,T15,Cell-Begin,,,False
498,leukemic,leukemic,T15,Cell-Inside,,,False
507,cell,cell,T15,Cell-Inside,,,False
512,line,line,T15,Cell-Inside,,,False
517,TF1,tf1,T15,Cell-Last,,,False
521,were,be,,,,,False
526,separated,separate,,,,,False
536,into,into,,,,,False
541,high,high,,,,,False
546,molecular,molecular,,,,,False
556,weight,weight,,,,,False
563,(,(,,,,,False
564,HMW,hmw,,,,,False
567,),),,,,,False
569,pellets,pellet,,,,,False
577,of,of,,,,,False
580,intact,intact,,,,,False
587,DNA,dna,T16,Cellular_component-Unit,,,False
591,and,and,,,,,False
595,supernatants,supernatant,,,,,False
608,of,of,,,,,False
611,fragmented,fragmented,,,T58,Breakdown-Unit,False
622,low,low,,,,,False
626,MW,mw,,,,,False
629,(,(,,,,,False
630,LMW,lmw,,,,,False
633,),),,,,,False
635,DNA,dna,T17,Cellular_component-Unit,,,False
638,",",",",,,,,False
640,and,and,,,,,False
644,the,the,,,,,False
648,DNA,dna,T18,Cellular_component-Unit,,,False
652,purified,purify,,,,,False
661,from,from,,,,,False
666,these,these,,,,,False
672,fractions,fraction,,,,,False
682,was,be,,,,,False
686,quantified,quantify,,,,,False
696,.,.,,,,,True
698,In,in,,,,,False
701,the,the,,,,,False
705,absence,absence,,,T59,Localization-Unit,False
713,of,of,,,,,False
716,both,both,,,,,False
721,GM,gm,T19,Gene_or_gene_product-Begin,,,False
723,-,-,T19,Gene_or_gene_product-Inside,,,False
724,CSF,csf,T19,Gene_or_gene_product-Last,,,False
728,and,and,,,,,False
732,fetal,fetal,T20,Organism_substance-Begin,,,False
738,bovine,bovine,T20,Organism_substance-Inside,,,False
745,serum,serum,T20,Organism_substance-Last,,,False
751,(,(,,,,,False
752,FBS,fbs,T21,Organism_substance-Unit,,,False
755,),),,,,,False
756,",",",",,,,,False
758,70,70,,,,,False
760,%,%,,,,,False
762,of,of,,,,,False
765,the,the,,,,,False
769,DNA,dna,T22,Cellular_component-Unit,,,False
773,was,be,,,,,False
777,fragmented,fragment,,,T60,Breakdown-Unit,False
788,after,after,,,,,False
794,3,3,,,,,False
796,days,day,,,,,False
801,in,in,,,,,False
804,culture,culture,,,,,False
811,",",",",,,,,False
813,with,with,,,,,False
818,a,a,,,,,False
820,characteristic,characteristic,,,,,False
835,apoptotic,apoptotic,,,T61,Cell_death-Unit,False
845,ladder,ladder,,,,,False
851,-,-,,,,,False
852,like,like,,,,,False
857,pattern,pattern,,,,,False
865,on,on,,,,,False
868,agarose,agarose,T23,Simple_chemical-Unit,,,False
876,gel,gel,,,,,False
880,electrophoresis,electrophoresis,,,,,False
895,",",",",,,,,False
897,whereas,whereas,,,,,False
905,this,this,,,,,False
910,proportion,proportion,,,,,False
921,had,have,,,,,False
925,initially,initially,,,,,False
935,been,be,,,,,False
940,<,<,,,,,False
942,5,5,,,,,False
943,%,%,,,,,False
944,.,.,,,,,True
946,In,in,,,,,False
949,contrast,contrast,,,,,False
957,",",",",,,,,False
959,less,less,,,,,False
964,than,than,,,,,False
969,5,5,,,,,False
970,%,%,,,,,False
972,of,of,,,,,False
975,the,the,,,,,False
979,DNA,dna,T24,Cellular_component-Unit,,,False
983,was,be,,,,,False
987,fragmented,fragment,,,T62,Breakdown-Unit,False
998,in,in,,,,,False
1001,cells,cell,T25,Cell-Unit,,,False
1007,incubated,incubate,,,T63,Planned_process-Unit,False
1017,with,with,,,,,False
1022,GM,gm,T26,Gene_or_gene_product-Begin,,,False
1024,-,-,T26,Gene_or_gene_product-Inside,,,False
1025,CSF,csf,T26,Gene_or_gene_product-Last,,,False
1029,plus,plus,,,,,False
1034,FBS,fbs,T27,Organism_substance-Unit,,,False
1038,or,or,,,,,False
1041,GM,gm,T28,Gene_or_gene_product-Begin,,,False
1043,-,-,T28,Gene_or_gene_product-Inside,,,False
1044,CSF,csf,T28,Gene_or_gene_product-Last,,,False
1048,alone,alone,,,,,False
1053,.,.,,,,,True
1055,Delayed,delay,,,,,False
1063,addition,addition,,,T64,Planned_process-Unit,False
1072,of,of,,,,,False
1075,GM,gm,T29,Gene_or_gene_product-Begin,,,False
1077,-,-,T29,Gene_or_gene_product-Inside,,,False
1078,CSF,csf,T29,Gene_or_gene_product-Last,,,False
1081,",",",",,,,,False
1083,but,but,,,,,False
1087,not,not,,,,,False
1091,FBS,fbs,T30,Organism_substance-Unit,,,False
1094,",",",",,,,,False
1096,permitted,permit,,,,,False
1106,partial,partial,,,,,False
1114,rescue,rescue,,,,,False
1121,of,of,,,,,False
1124,the,the,,,,,False
1128,cells,cell,T31,Cell-Unit,,,False
1133,",",",",,,,,False
1135,inhibiting,inhibit,,,T65,Negative_regulation-Unit,False
1146,increasing,increase,,,T66,Positive_regulation-Unit,False
1157,rates,rate,,,,,False
1163,of,of,,,,,False
1166,accumulation,accumulation,,,,,False
1179,of,of,,,,,False
1182,fragmented,fragmented,,,T67,Breakdown-Unit,False
1193,DNA,dna,T32,Cellular_component-Unit,,,False
1196,.,.,,,,,True
1198,When,when,,,,,False
1203,the,the,,,,,False
1207,macro,macro,,,,,False
1212,-,-,,,,,False
1213,molecular,molecular,,,,,False
1223,synthesis,synthesis,,,,,False
1233,inhibitor,inhibitor,,,,,False
1243,cycloheximide,cycloheximide,T33,Simple_chemical-Unit,,,False
1257,(,(,,,,,False
1258,CHX,chx,T34,Simple_chemical-Unit,,,False
1261,),),,,,,False
1263,or,or,,,,,False
1266,actinomycin,actinomycin,T35,Simple_chemical-Begin,,,False
1278,D,d,T35,Simple_chemical-Last,,,False
1280,(,(,,,,,False
1281,Act,act,T36,Simple_chemical-Begin,,,False
1285,D,d,T36,Simple_chemical-Last,,,False
1286,),),,,,,False
1288,was,be,,,,,False
1292,present,present,,,T68,Localization-Unit,False
1300,for,for,,,,,False
1304,26,26,,,,,False
1307,hours,hour,,,,,False
1313,in,in,,,,,False
1316,the,the,,,,,False
1320,absence,absence,,,T69,Localization-Unit,False
1328,of,of,,,,,False
1331,GM,gm,T37,Gene_or_gene_product-Begin,,,False
1333,-,-,T37,Gene_or_gene_product-Inside,,,False
1334,CSF,csf,T37,Gene_or_gene_product-Last,,,False
1338,and,and,,,,,False
1342,FBS,fbs,T38,Organism_substance-Unit,,,False
1345,",",",",,,,,False
1347,apoptosis,apoptosis,,,T70,Cell_death-Unit,False
1357,was,be,,,,,False
1361,inhibited,inhibit,,,T71,Negative_regulation-Unit,False
1370,.,.,,,,,True
1372,In,in,,,,,False
1375,contrast,contrast,,,,,False
1383,",",",",,,,,False
1385,in,in,,,,,False
1388,the,the,,,,,False
1392,presence,presence,,,T72,Localization-Unit,False
1401,of,of,,,,,False
1404,GM,gm,T39,Gene_or_gene_product-Begin,,,False
1406,-,-,T39,Gene_or_gene_product-Inside,,,False
1407,CSF,csf,T39,Gene_or_gene_product-Last,,,False
1411,or,or,,,,,False
1414,FBS,fbs,T40,Organism_substance-Unit,,,False
1417,",",",",,,,,False
1419,apoptosis,apoptosis,,,T73,Cell_death-Unit,False
1429,was,be,,,,,False
1433,enhanced,enhance,,,T74,Positive_regulation-Unit,False
1442,upon,upon,,,,,False
1447,addition,addition,,,T75,Planned_process-Unit,False
1456,of,of,,,,,False
1459,CHX,chx,T41,Simple_chemical-Unit,,,False
1463,or,or,,,,,False
1466,Act,act,T42,Simple_chemical-Begin,,,False
1470,D,d,T42,Simple_chemical-Last,,,False
1471,.,.,,,,,False
1473,The,the,,,,,False
1477,latter,latter,,,,,False
1484,effect,effect,,,,,False
1491,persisted,persist,,,,,False
1501,even,even,,,,,False
1506,with,with,,,,,False
1511,the,the,,,,,False
1515,late,late,,,,,False
1520,addition,addition,,,T76,Planned_process-Unit,False
1529,of,of,,,,,False
1532,CHX,chx,T43,Simple_chemical-Unit,,,False
1535,.,.,,,,,True
1537,These,these,,,,,False
1543,findings,finding,,,,,False
1552,indicate,indicate,,,,,False
1561,that,that,,,,,False
1566,disparate,disparate,,,,,False
1576,mechanisms,mechanism,,,,,False
1587,of,of,,,,,False
1590,enhancing,enhance,,,T77,Positive_regulation-Unit,False
1600,or,or,,,,,False
1603,inhibiting,inhibit,,,T78,Negative_regulation-Unit,False
1614,apoptosis,apoptosis,,,T79,Cell_death-Unit,False
1624,exist,exist,,,,,False
1630,in,in,,,,,False
1633,myeloid,myeloid,T44,Cell-Begin,,,False
1641,leukemic,leukemic,T44,Cell-Inside,,,False
1650,cells,cell,T44,Cell-Last,,,False
1656,related,relate,,,,,False
1664,to,to,,,,,False
1667,environmental,environmental,,,,,False
1681,conditions,condition,,,,,False
1691,",",",",,,,,False
1693,including,include,,,,,False
1703,HGF,hgf,T45,Gene_or_gene_product-Unit,,,False
1706,-,-,,,,,False
1707,regulated,regulate,,,,,False
1717,cellular,cellular,T46,Cell-Unit,,,False
1726,synthesis,synthesis,,,,,False
1736,of,of,,,,,False
1739,distinct,distinct,,,,,False
1748,proteins,protein,,,,,False
1757,and,and,,,,,False
1761,mRNA,mrna,,,,,False
1765,.,.,,,,,True
